model,dataset,method,downsample_level,group_b_total,group_b_correct,group_b_accuracy,group_a_total,group_a_correct,group_a_accuracy
Qwen2-VL-7B-Instruct,mme,fastv,2,2019,1952,96.68152551,71,56,78.87323944
Qwen2-VL-7B-Instruct,mmstar,fastv,2,655,498,76.03053435,183,75,40.98360656
Qwen2-VL-7B-Instruct,ocrbench,fastv,2,628,359,57.1656051,179,52,29.05027933
Qwen2-VL-7B-Instruct,pope,fastv,2,7477,7085,94.75725558,480,314,65.41666667
Qwen2-VL-7B-Instruct,chartqa,fastv,3,585,361,61.70940171,1454,413,28.40440165
Qwen2-VL-7B-Instruct,gqa,fastv,3,6285,5183,82.46618934,1551,690,44.48742747
Qwen2-VL-7B-Instruct,mmbench_cn_dev,fastv,3,3014,2736,90.77637691,372,164,44.08602151
Qwen2-VL-7B-Instruct,mmbench_en_dev,fastv,3,3260,2944,90.30674847,398,156,39.1959799
Qwen2-VL-7B-Instruct,mme,fastv,3,1957,1840,94.02146142,133,79,59.39849624
Qwen2-VL-7B-Instruct,mmstar,fastv,3,567,414,73.01587302,271,84,30.99630996
Qwen2-VL-7B-Instruct,ocrbench,fastv,3,470,194,41.27659574,337,60,17.8041543
Qwen2-VL-7B-Instruct,pope,fastv,3,7135,6330,88.71758935,822,385,46.83698297
Qwen2-VL-7B-Instruct,chartqa,fastv,4,286,214,74.82517483,1753,259,14.77467199
Qwen2-VL-7B-Instruct,gqa,fastv,4,5851,4761,81.37070586,1985,709,35.71788413
Qwen2-VL-7B-Instruct,mmbench_cn_dev,fastv,4,2902,2513,86.59545141,484,171,35.33057851
Qwen2-VL-7B-Instruct,mmbench_en_dev,fastv,4,3137,2687,85.65508448,521,166,31.86180422
Qwen2-VL-7B-Instruct,mme,fastv,4,1883,1723,91.50292087,207,101,48.79227053
Qwen2-VL-7B-Instruct,mmstar,fastv,4,513,382,74.46393762,325,74,22.76923077
Qwen2-VL-7B-Instruct,ocrbench,fastv,4,385,127,32.98701299,422,56,13.27014218
Qwen2-VL-7B-Instruct,pope,fastv,4,6819,6007,88.09209562,1138,426,37.4340949
Qwen2-VL-7B-Instruct,chartqa,fastv,5,263,198,75.2851711,1776,165,9.290540541
Qwen2-VL-7B-Instruct,gqa,fastv,5,5555,4399,79.18991899,2281,675,29.59228409
Qwen2-VL-7B-Instruct,mmbench_cn_dev,fastv,5,2748,2045,74.41775837,638,211,33.07210031
Qwen2-VL-7B-Instruct,mmbench_en_dev,fastv,5,2985,2224,74.50586265,673,166,24.66567608
Qwen2-VL-7B-Instruct,mme,fastv,5,1871,1686,90.11223944,219,78,35.61643836
Qwen2-VL-7B-Instruct,mmstar,fastv,5,471,323,68.57749469,367,79,21.52588556
Qwen2-VL-7B-Instruct,ocrbench,fastv,5,309,85,27.50809061,498,55,11.04417671
Qwen2-VL-7B-Instruct,pope,fastv,5,6718,5763,85.78445966,1239,441,35.59322034
Qwen2-VL-7B-Instruct,chartqa,fastv,10,266,195,73.30827068,1773,68,3.835307389
Qwen2-VL-7B-Instruct,gqa,fastv,10,4697,3546,75.49499681,3139,573,18.25422109
Qwen2-VL-7B-Instruct,mmbench_cn_dev,fastv,10,2400,1277,53.20833333,986,212,21.5010142
Qwen2-VL-7B-Instruct,mmbench_en_dev,fastv,10,2599,1446,55.63678338,1059,194,18.31916903
Qwen2-VL-7B-Instruct,mme,fastv,10,1714,1291,75.32088681,376,81,21.54255319
Qwen2-VL-7B-Instruct,mmstar,fastv,10,405,247,60.98765432,433,65,15.01154734
Qwen2-VL-7B-Instruct,ocrbench,fastv,10,123,24,19.51219512,684,29,4.239766082
Qwen2-VL-7B-Instruct,pope,fastv,10,6094,3616,59.33705284,1863,825,44.28341385
Qwen2-VL-7B-Instruct,chartqa,prumerge+,2,1570,1155,73.56687898,469,190,40.51172708
Qwen2-VL-7B-Instruct,gqa,prumerge+,2,6815,6264,91.91489362,1021,589,57.68854065
Qwen2-VL-7B-Instruct,mmbench_cn_dev,prumerge+,2,3156,2984,94.55006337,230,121,52.60869565
Qwen2-VL-7B-Instruct,mmbench_en_dev,prumerge+,2,3441,3272,95.08863702,217,111,51.15207373
Qwen2-VL-7B-Instruct,mme,prumerge+,2,2019,1936,95.88905399,71,44,61.97183099
Qwen2-VL-7B-Instruct,mmstar,prumerge+,2,655,539,82.29007634,183,88,48.08743169
Qwen2-VL-7B-Instruct,ocrbench,prumerge+,2,628,290,46.17834395,179,38,21.22905028
Qwen2-VL-7B-Instruct,pope,prumerge+,2,7477,7293,97.53911997,480,346,72.08333333
Qwen2-VL-7B-Instruct,chartqa,prumerge+,3,585,432,73.84615385,1454,633,43.53507565
Qwen2-VL-7B-Instruct,gqa,prumerge+,3,6285,5392,85.79156722,1551,781,50.35460993
Qwen2-VL-7B-Instruct,mmbench_cn_dev,prumerge+,3,3014,2604,86.39681486,372,143,38.44086022
Qwen2-VL-7B-Instruct,mmbench_en_dev,prumerge+,3,3260,2842,87.17791411,398,147,36.93467337
Qwen2-VL-7B-Instruct,mme,prumerge+,3,1957,1799,91.92641799,133,57,42.85714286
Qwen2-VL-7B-Instruct,mmstar,prumerge+,3,567,406,71.60493827,271,78,28.78228782
Qwen2-VL-7B-Instruct,ocrbench,prumerge+,3,470,155,32.9787234,337,61,18.10089021
Qwen2-VL-7B-Instruct,pope,prumerge+,3,7135,6718,94.15557113,822,588,71.53284672
Qwen2-VL-7B-Instruct,chartqa,prumerge+,4,286,197,68.88111888,1753,516,29.43525385
Qwen2-VL-7B-Instruct,gqa,prumerge+,4,5851,4486,76.67065459,1985,853,42.97229219
Qwen2-VL-7B-Instruct,mmbench_cn_dev,prumerge+,4,2902,2207,76.05099931,484,165,34.09090909
Qwen2-VL-7B-Instruct,mmbench_en_dev,prumerge+,4,3137,2411,76.85686962,521,154,29.55854127
Qwen2-VL-7B-Instruct,mme,prumerge+,4,1883,1653,87.78544875,207,89,42.99516908
Qwen2-VL-7B-Instruct,mmstar,prumerge+,4,513,336,65.49707602,325,83,25.53846154
Qwen2-VL-7B-Instruct,ocrbench,prumerge+,4,385,84,21.81818182,422,53,12.55924171
Qwen2-VL-7B-Instruct,pope,prumerge+,4,6819,5973,87.59348878,1138,770,67.66256591
Qwen2-VL-7B-Instruct,chartqa,prumerge+,5,263,185,70.34220532,1776,302,17.0045045
Qwen2-VL-7B-Instruct,gqa,prumerge+,5,5555,4026,72.47524752,2281,884,38.75493205
Qwen2-VL-7B-Instruct,mmbench_cn_dev,prumerge+,5,2748,1900,69.1411936,638,187,29.31034483
Qwen2-VL-7B-Instruct,mmbench_en_dev,prumerge+,5,2985,2070,69.34673367,673,175,26.00297177
Qwen2-VL-7B-Instruct,mme,prumerge+,5,1871,1569,83.85889898,219,81,36.98630137
Qwen2-VL-7B-Instruct,mmstar,prumerge+,5,471,289,61.35881104,367,83,22.61580381
Qwen2-VL-7B-Instruct,ocrbench,prumerge+,5,309,57,18.44660194,498,46,9.236947791
Qwen2-VL-7B-Instruct,pope,prumerge+,5,6718,5520,82.1673117,1239,699,56.41646489
Qwen2-VL-7B-Instruct,chartqa,prumerge+,10,266,185,69.54887218,1773,125,7.050197406
Qwen2-VL-7B-Instruct,gqa,prumerge+,10,4697,3472,73.9195231,3139,651,20.73908888
Qwen2-VL-7B-Instruct,mmbench_cn_dev,prumerge+,10,2400,1263,52.625,986,208,21.09533469
Qwen2-VL-7B-Instruct,mmbench_en_dev,prumerge+,10,2599,1452,55.8676414,1059,189,17.8470255
Qwen2-VL-7B-Instruct,mme,prumerge+,10,1714,1267,73.92065344,376,86,22.87234043
Qwen2-VL-7B-Instruct,mmstar,prumerge+,10,405,231,57.03703704,433,74,17.09006928
Qwen2-VL-7B-Instruct,ocrbench,prumerge+,10,123,16,13.00813008,684,17,2.485380117
Qwen2-VL-7B-Instruct,pope,prumerge+,10,6094,3029,49.7046275,1863,980,52.60332797
Qwen2-VL-7B-Instruct,chartqa,visionzip,2,1570,1371,87.32484076,469,240,51.17270789
Qwen2-VL-7B-Instruct,gqa,visionzip,2,6815,6218,91.23991196,1021,605,59.25563173
Qwen2-VL-7B-Instruct,mmbench_cn_dev,visionzip,2,3156,2954,93.59949303,230,97,42.17391304
Qwen2-VL-7B-Instruct,mmbench_en_dev,visionzip,2,3441,3227,93.78087765,217,92,42.39631336
Qwen2-VL-7B-Instruct,mme,visionzip,2,2019,1924,95.29470035,71,39,54.92957746
Qwen2-VL-7B-Instruct,mmstar,visionzip,2,655,533,81.3740458,183,84,45.90163934
Qwen2-VL-7B-Instruct,ocrbench,visionzip,2,628,365,58.12101911,179,53,29.60893855
Qwen2-VL-7B-Instruct,pope,visionzip,2,7477,7240,96.83027952,480,348,72.5
Qwen2-VL-7B-Instruct,chartqa,visionzip,3,585,435,74.35897436,1454,722,49.65612105
Qwen2-VL-7B-Instruct,gqa,visionzip,3,6285,5239,83.35719968,1551,766,49.38749194
Qwen2-VL-7B-Instruct,mmbench_cn_dev,visionzip,3,3014,2656,88.12209688,372,165,44.35483871
Qwen2-VL-7B-Instruct,mmbench_en_dev,visionzip,3,3260,2902,89.01840491,398,132,33.16582915
Qwen2-VL-7B-Instruct,mme,visionzip,3,1957,1804,92.18191109,133,64,48.12030075
Qwen2-VL-7B-Instruct,mmstar,visionzip,3,567,414,73.01587302,271,82,30.25830258
Qwen2-VL-7B-Instruct,ocrbench,visionzip,3,470,171,36.38297872,337,74,21.95845697
Qwen2-VL-7B-Instruct,pope,visionzip,3,7135,6589,92.34758234,822,575,69.9513382
Qwen2-VL-7B-Instruct,chartqa,visionzip,4,286,204,71.32867133,1753,458,26.12664005
Qwen2-VL-7B-Instruct,gqa,visionzip,4,5851,4621,78.97795249,1985,813,40.95717884
Qwen2-VL-7B-Instruct,mmbench_cn_dev,visionzip,4,2902,2384,82.15024121,484,161,33.26446281
Qwen2-VL-7B-Instruct,mmbench_en_dev,visionzip,4,3137,2570,81.92540644,521,180,34.54894434
Qwen2-VL-7B-Instruct,mme,visionzip,4,1883,1665,88.42272969,207,90,43.47826087
Qwen2-VL-7B-Instruct,mmstar,visionzip,4,513,358,69.78557505,325,79,24.30769231
Qwen2-VL-7B-Instruct,ocrbench,visionzip,4,385,97,25.19480519,422,59,13.98104265
Qwen2-VL-7B-Instruct,pope,visionzip,4,6819,6093,89.35327761,1138,755,66.34446397
Qwen2-VL-7B-Instruct,chartqa,visionzip,5,263,182,69.20152091,1776,269,15.1463964
Qwen2-VL-7B-Instruct,gqa,visionzip,5,5555,4199,75.58955896,2281,880,38.57957036
Qwen2-VL-7B-Instruct,mmbench_cn_dev,visionzip,5,2748,2203,80.16739447,638,208,32.60188088
Qwen2-VL-7B-Instruct,mmbench_en_dev,visionzip,5,2985,2396,80.2680067,673,210,31.20356612
Qwen2-VL-7B-Instruct,mme,visionzip,5,1871,1635,87.38642437,219,83,37.89954338
Qwen2-VL-7B-Instruct,mmstar,visionzip,5,471,328,69.63906582,367,90,24.52316076
Qwen2-VL-7B-Instruct,ocrbench,visionzip,5,309,63,20.38834951,498,55,11.04417671
Qwen2-VL-7B-Instruct,pope,visionzip,5,6718,5810,86.48407264,1239,744,60.04842615
Qwen2-VL-7B-Instruct,chartqa,visionzip,10,266,187,70.30075188,1773,98,5.527354766
Qwen2-VL-7B-Instruct,gqa,visionzip,10,4697,3730,79.41239089,3139,733,23.35138579
Qwen2-VL-7B-Instruct,mmbench_cn_dev,visionzip,10,2400,1846,76.91666667,986,317,32.15010142
Qwen2-VL-7B-Instruct,mmbench_en_dev,visionzip,10,2599,2036,78.33782224,1059,305,28.80075543
Qwen2-VL-7B-Instruct,mme,visionzip,10,1714,1380,80.5134189,376,107,28.45744681
Qwen2-VL-7B-Instruct,mmstar,visionzip,10,405,281,69.38271605,433,84,19.39953811
Qwen2-VL-7B-Instruct,ocrbench,visionzip,10,123,21,17.07317073,684,25,3.65497076
Qwen2-VL-7B-Instruct,pope,visionzip,10,6094,4277,70.18378733,1863,998,53.56951154
Llava-ov-7B,gqa,fastv,2,6815,5725,84.00586941,1021,554,54.26052889
Llava-ov-7B,mmbench_cn_dev,fastv,2,3156,2988,94.67680608,230,159,69.13043478
Llava-ov-7B,mmbench_en_dev,fastv,2,3441,3219,93.5483871,217,153,70.50691244
Llava-ov-7B,mmstar,fastv,2,655,479,73.12977099,183,89,48.63387978
Llava-ov-7B,pope,fastv,2,7477,6895,92.21612946,480,306,63.75
Llava-ov-7B,gqa,fastv,3,6285,4785,76.13365155,1551,703,45.32559639
Llava-ov-7B,mmbench_cn_dev,fastv,3,3014,2782,92.30258792,372,247,66.39784946
Llava-ov-7B,mmbench_en_dev,fastv,3,3260,2990,91.71779141,398,257,64.57286432
Llava-ov-7B,mmstar,fastv,3,567,377,66.49029982,271,115,42.43542435
Llava-ov-7B,pope,fastv,3,7135,6081,85.22775053,822,321,39.05109489
Llava-ov-7B,gqa,fastv,4,5851,4273,73.03025124,1985,729,36.72544081
Llava-ov-7B,mmbench_cn_dev,fastv,4,2902,2509,86.45761544,484,258,53.30578512
Llava-ov-7B,mmbench_en_dev,fastv,4,3137,2692,85.81447243,521,267,51.24760077
Llava-ov-7B,mmstar,fastv,4,513,330,64.32748538,325,106,32.61538462
Llava-ov-7B,pope,fastv,4,6819,5555,81.46355771,1138,338,29.70123023
Llava-ov-7B,gqa,fastv,5,5555,3996,71.93519352,2281,717,31.43358176
Llava-ov-7B,mmbench_cn_dev,fastv,5,2748,2140,77.87481805,638,275,43.10344828
Llava-ov-7B,mmbench_en_dev,fastv,5,2985,2309,77.35343384,673,252,37.44427935
Llava-ov-7B,mmstar,fastv,5,471,269,57.11252654,367,105,28.61035422
Llava-ov-7B,pope,fastv,5,6718,5307,78.99672522,1239,303,24.45520581
Llava-ov-7B,gqa,fastv,10,4697,2959,62.99765808,3139,807,25.70882447
Llava-ov-7B,mmbench_cn_dev,fastv,10,2400,1115,46.45833333,986,292,29.61460446
Llava-ov-7B,mmbench_en_dev,fastv,10,2599,1315,50.59638322,1059,273,25.77903683
Llava-ov-7B,mmstar,fastv,10,405,192,47.40740741,433,95,21.93995381
Llava-ov-7B,pope,fastv,10,6094,3594,58.97604201,1863,732,39.29146538
Llava-ov-7B,gqa,prumerge+,2,6815,5935,87.08730741,1021,617,60.43095005
Llava-ov-7B,mmbench_cn_dev,prumerge+,2,3156,2968,94.04309252,230,169,73.47826087
Llava-ov-7B,mmbench_en_dev,prumerge+,2,3441,3228,93.80993897,217,161,74.19354839
Llava-ov-7B,mmstar,prumerge+,2,655,407,62.13740458,183,89,48.63387978
Llava-ov-7B,pope,prumerge+,2,7477,7197,96.25518256,480,363,75.625
Llava-ov-7B,gqa,prumerge+,3,6285,5209,82.87987271,1551,891,57.44680851
Llava-ov-7B,mmbench_cn_dev,prumerge+,3,3014,2809,93.19840743,372,266,71.50537634
Llava-ov-7B,mmbench_en_dev,prumerge+,3,3260,3025,92.79141104,398,274,68.84422111
Llava-ov-7B,mmstar,prumerge+,3,567,311,54.85008818,271,124,45.75645756
Llava-ov-7B,pope,prumerge+,3,7135,6692,93.79117029,822,625,76.03406326
Llava-ov-7B,gqa,prumerge+,4,5851,4606,78.72158605,1985,996,50.17632242
Llava-ov-7B,mmbench_cn_dev,prumerge+,4,2902,2642,91.04066161,484,316,65.2892562
Llava-ov-7B,mmbench_en_dev,prumerge+,4,3137,2857,91.07427478,521,347,66.60268714
Llava-ov-7B,mmstar,prumerge+,4,513,275,53.60623782,325,113,34.76923077
Llava-ov-7B,pope,prumerge+,4,6819,6204,90.98108227,1138,682,59.92970123
Llava-ov-7B,gqa,prumerge+,5,5555,4138,74.49144914,2281,975,42.74441035
Llava-ov-7B,mmbench_cn_dev,prumerge+,5,2748,2314,84.20669578,638,380,59.56112853
Llava-ov-7B,mmbench_en_dev,prumerge+,5,2985,2510,84.08710218,673,389,57.80089153
Llava-ov-7B,mmstar,prumerge+,5,471,234,49.68152866,367,115,31.33514986
Llava-ov-7B,pope,prumerge+,5,6718,5774,85.94819887,1239,618,49.87893462
Llava-ov-7B,gqa,prumerge+,10,4697,2838,60.42154567,3139,795,25.32653711
Llava-ov-7B,mmbench_cn_dev,prumerge+,10,2400,1093,45.54166667,986,281,28.4989858
Llava-ov-7B,mmbench_en_dev,prumerge+,10,2599,1218,46.86417853,1059,270,25.49575071
Llava-ov-7B,mmstar,prumerge+,10,405,132,32.59259259,433,109,25.17321016
Llava-ov-7B,pope,prumerge+,10,6094,3453,56.66229078,1863,752,40.36500268
Llava-ov-7B,gqa,visionzip,2,6815,5877,86.23624358,1021,602,58.96180215
Llava-ov-7B,mmbench_cn_dev,visionzip,2,3156,2975,94.26489227,230,164,71.30434783
Llava-ov-7B,mmbench_en_dev,visionzip,2,3441,3215,93.43214182,217,147,67.74193548
Llava-ov-7B,mmstar,visionzip,2,655,412,62.90076336,183,82,44.80874317
Llava-ov-7B,pope,visionzip,2,7477,7146,95.57309081,480,388,80.83333333
Llava-ov-7B,gqa,visionzip,3,6285,5201,82.75258552,1551,878,56.60863959
Llava-ov-7B,mmbench_cn_dev,visionzip,3,3014,2777,92.13669542,372,265,71.23655914
Llava-ov-7B,mmbench_en_dev,visionzip,3,3260,3016,92.51533742,398,286,71.85929648
Llava-ov-7B,mmstar,visionzip,3,567,335,59.08289242,271,118,43.54243542
Llava-ov-7B,pope,visionzip,3,7135,6678,93.59495445,822,572,69.5863747
Llava-ov-7B,gqa,visionzip,4,5851,4643,79.35395659,1985,974,49.06801008
Llava-ov-7B,mmbench_cn_dev,visionzip,4,2902,2637,90.86836664,484,302,62.39669421
Llava-ov-7B,mmbench_en_dev,visionzip,4,3137,2860,91.16990755,521,335,64.29942418
Llava-ov-7B,mmstar,visionzip,4,513,280,54.58089669,325,119,36.61538462
Llava-ov-7B,pope,visionzip,4,6819,6198,90.89309283,1138,610,53.60281195
Llava-ov-7B,gqa,visionzip,5,5555,4239,76.30963096,2281,972,42.61288908
Llava-ov-7B,mmbench_cn_dev,visionzip,5,2748,2385,86.79039301,638,363,56.89655172
Llava-ov-7B,mmbench_en_dev,visionzip,5,2985,2594,86.90117253,673,373,55.42347697
Llava-ov-7B,mmstar,visionzip,5,471,235,49.89384289,367,113,30.79019074
Llava-ov-7B,pope,visionzip,5,6718,5816,86.57338494,1239,562,45.35916061
Llava-ov-7B,gqa,visionzip,10,4697,3027,64.44539067,3139,887,28.25740682
Llava-ov-7B,mmbench_cn_dev,visionzip,10,2400,1292,53.83333333,986,323,32.75862069
Llava-ov-7B,mmbench_en_dev,visionzip,10,2599,1416,54.48249327,1059,298,28.13975449
Llava-ov-7B,mmstar,visionzip,10,405,146,36.04938272,433,107,24.7113164
Llava-ov-7B,pope,visionzip,10,6094,3768,61.83130948,1863,784,42.08266237

